Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
JEEP,SUV - SMALL,2.4,4,A6,X,10.2,28,235
JEEP,SUV - SMALL,2.4,4,M5,X,9.7,29,223
JEEP,SUV - SMALL,2.4,4,AV,X,11.1,25,255
JEEP,SUV - SMALL,1.4,4,M6,X,8.8,32,202
JEEP,SUV - SMALL,2.4,4,A9,X,9.4,30,216
JEEP,SUV - SMALL,2.4,4,A9,E,12.2,23,195
JEEP,SUV - SMALL,1.4,4,M6,X,8.8,32,202
JEEP,SUV - SMALL,2.4,4,A9,X,9.8,29,225
JEEP,SUV - SMALL,3.6,6,A5,X,12.8,22,294
JEEP,SUV - SMALL,3.6,6,M6,X,12.8,22,294
JEEP,SUV - SMALL,3.6,6,A5,X,13.4,21,308
JEEP,SUV - SMALL,3.6,6,M6,X,13.4,21,308
KIA,FULL-SIZE,3.3,6,AS6,X,10.7,26,246
KIA,MID-SIZE,1.8,4,AS6,X,7.6,37,175
KIA,MID-SIZE,1.8,4,M6,X,7.9,36,182
KIA,MID-SIZE,2,4,AS6,X,8.3,34,191
KIA,MID-SIZE,2,4,M6,X,8.5,33,196
KIA,FULL-SIZE,1.6,4,AS6,X,9.7,29,223
KIA,FULL-SIZE,1.6,4,M6,X,9.8,29,225
KIA,FULL-SIZE,2,4,AS6,X,8.5,33,196
KIA,FULL-SIZE,2,4,M6,X,8.4,34,193
KIA,COMPACT,1.6,4,AS6,X,9.4,30,216
KIA,COMPACT,1.6,4,M6,X,9.6,29,221
KIA,COMPACT,2,4,AS6,X,8.6,33,198
KIA,COMPACT,2,4,M6,X,8.8,32,202
KIA,FULL-SIZE,3.8,6,AS8,X,11.3,25,260
KIA,FULL-SIZE,5,8,AS8,Z,13.3,21,306
KIA,MID-SIZE,2,4,AS6,X,9.9,29,228
KIA,MID-SIZE,2.4,4,AS6,X,8.7,32,200
KIA,MID-SIZE,2.4,4,AS6,X,6.3,45,145
KIA,MID-SIZE,2.4,4,AS6,X,6.4,44,147
KIA,COMPACT,1.6,4,AS6,X,7.7,37,177
KIA,COMPACT,1.6,4,M6,X,7.7,37,177
KIA,COMPACT,1.6,4,AS6,X,7.6,37,175
KIA,STATION WAGON - MID-SIZE,2,4,AS6,X,9.3,30,214
KIA,STATION WAGON - MID-SIZE,2,4,M6,X,9.3,30,214
KIA,MINIVAN,3.3,6,AS6,X,11.6,24,267
KIA,MINIVAN,3.3,6,AS6,X,11.4,25,262
KIA,MINIVAN,3.3,6,AS6,X,12.5,23,288
KIA,SUV - SMALL,2.4,4,AS6,X,10.4,27,239
KIA,SUV - SMALL,3.3,6,AS6,X,11.1,25,255
KIA,SUV - SMALL,2.4,4,AS6,X,10.9,26,251
KIA,SUV - SMALL,3.3,6,AS6,X,11.8,24,271
KIA,STATION WAGON - SMALL,1.6,4,AS6,X,8.9,32,205
KIA,STATION WAGON - SMALL,1.6,4,M6,X,9,31,207
KIA,STATION WAGON - SMALL,2,4,AS6,X,9,31,207
KIA,STATION WAGON - SMALL,2,4,AS6,X,8.8,32,202
KIA,SUV - SMALL,2.4,4,AS6,X,10,28,230
KIA,SUV - SMALL,2.4,4,M6,X,11.3,25,260
KIA,SUV - SMALL,2,4,AS6,X,11.3,25,260
KIA,SUV - SMALL,2.4,4,AS6,X,10.7,26,246
LAMBORGHINI,TWO-SEATER,6.5,12,AM7,Z,17.9,16,412
LAMBORGHINI,TWO-SEATER,6.5,12,AM7,Z,19.7,14,453
LAMBORGHINI,TWO-SEATER,5.2,10,AM7,Z,14.5,19,334
LAMBORGHINI,TWO-SEATER,6.5,12,AM7,Z,18.4,15,423
LAND ROVER,SUV - SMALL,2,4,AS6,Z,11.9,24,274
LAND ROVER,SUV - STANDARD,3,6,AS8,Z,14.3,20,329
LAND ROVER,SUV - STANDARD,3,6,AS8,Z,12.3,23,283
LAND ROVER,SUV - STANDARD,5,8,AS8,Z,15.1,19,347
LAND ROVER,SUV - STANDARD,5,8,AS8,E,21.4,13,342
LAND ROVER,SUV - STANDARD,5,8,AS8,Z,15.1,19,347
LAND ROVER,SUV - STANDARD,5,8,AS8,E,21.4,13,342
LAND ROVER,SUV - SMALL,2,4,AS9,Z,9.7,29,223
LAND ROVER,SUV - SMALL,2,4,AS9,Z,9.7,29,223
LAND ROVER,SUV - STANDARD,3,6,AS8,Z,12.4,23,285
LAND ROVER,SUV - STANDARD,5,8,AS8,Z,14.7,19,338
LAND ROVER,SUV - STANDARD,5,8,AS8,E,20.7,14,331
LEXUS,COMPACT,1.8,4,AV,X,5.7,50,131
LEXUS,MID-SIZE,2.5,4,AV6,X,5.9,48,136
LEXUS,MID-SIZE,3.5,6,AS6,X,9.6,29,221
LEXUS,MID-SIZE,3.5,6,AS8,Z,10.6,27,244
LEXUS,MID-SIZE,3.5,6,AS6,Z,11,26,253
LEXUS,MID-SIZE,3.5,6,AV8,Z,7.5,38,172
LEXUS,SUV - STANDARD,4.6,8,AS6,Z,13.9,20,320
LEXUS,COMPACT,2.5,6,AS6,Z,9.6,29,221
LEXUS,COMPACT,2.5,6,AS6,Z,10.4,27,239
LEXUS,SUBCOMPACT,2.5,6,AS6,Z,9.6,29,221
LEXUS,COMPACT,3.5,6,AS8,Z,10.6,27,244
LEXUS,COMPACT,3.5,6,AS6,Z,11,26,253
LEXUS,SUBCOMPACT,3.5,6,AS6,Z,10.6,27,244
LEXUS,MID-SIZE,4.6,8,AS8,Z,12.3,23,283
LEXUS,MID-SIZE,4.6,8,AS8,Z,12.9,22,297
LEXUS,MID-SIZE,4.6,8,AS8,Z,12.9,22,297
LEXUS,MID-SIZE,5,8,AV8,Z,11.5,25,264
LEXUS,SUV - STANDARD,5.7,8,AS6,Z,16.6,17,382
LEXUS,SUV - SMALL,2,4,AS6,Z,9.6,29,221
LEXUS,SUV - SMALL,2,4,AS6,Z,9.9,29,228
LEXUS,SUV - SMALL,2.5,4,AV6,X,7.4,38,170
LEXUS,SUBCOMPACT,3.5,6,AS8,Z,10.6,27,244
LEXUS,SUBCOMPACT,3.5,6,AS6,Z,11,26,253
LEXUS,SUBCOMPACT,5,8,AS8,Z,12.6,22,290
LEXUS,SUV - SMALL,3.5,6,AS6,X,11.7,24,269
LEXUS,SUV - SMALL,3.5,6,AS8,X,11.1,25,255
LEXUS,SUV - SMALL,3.5,6,AV6,Z,8.2,34,189
LINCOLN,SUV - SMALL,2,4,AS6,X,10.9,26,251
LINCOLN,SUV - SMALL,2.3,4,AS6,X,11.2,25,258
LINCOLN,FULL-SIZE,3.5,6,AS6,X,11.9,24,274
LINCOLN,FULL-SIZE,3.7,6,AS6,X,11.2,25,258
LINCOLN,SUV - STANDARD,3.5,6,AS6,X,12.8,22,294
LINCOLN,SPECIAL PURPOSE VEHICLE,2,4,AS6,X,10.1,28,232
LINCOLN,SPECIAL PURPOSE VEHICLE,3.7,6,A6,X,12.2,23,281
LINCOLN,SUV - SMALL,3.7,6,AS6,X,12.1,23,278
LINCOLN,MID-SIZE,2,4,AS6,X,8.9,32,205
LINCOLN,MID-SIZE,3.7,6,AS6,X,11.3,25,260
LINCOLN,MID-SIZE,2,4,AV,X,5.8,49,133
LINCOLN,SUV - STANDARD,3.5,6,AS6,X,14.2,20,327
LINCOLN,SUV - STANDARD,3.5,6,AS6,X,14.4,20,331
MASERATI,MID-SIZE,3,6,AS8,Z,12.7,22,292
MASERATI,MID-SIZE,3,6,AS8,Z,12.8,22,294
MASERATI,SUBCOMPACT,4.7,8,AS6,Z,15.1,19,347
MASERATI,SUBCOMPACT,4.7,8,AS6,Z,15.2,19,350
MASERATI,FULL-SIZE,3.8,8,AS8,Z,14.5,19,334
MASERATI,FULL-SIZE,3,6,AS8,Z,13,22,299
MAZDA,SUV - SMALL,2,4,AS6,X,8.2,34,189
MAZDA,SUV - SMALL,2,4,M6,X,8,35,184
MAZDA,SUV - SMALL,2.5,4,AS6,X,8.6,33,198
MAZDA,SUV - SMALL,2,4,AS6,X,8.5,33,196
MAZDA,SUV - SMALL,2.5,4,AS6,X,9,31,207
MAZDA,SUV - SMALL,3.7,6,AS6,X,12.3,23,283
MAZDA,SUV - SMALL,3.7,6,AS6,X,12.7,22,292
MAZDA,COMPACT,2,4,AS6,X,6.9,41,159
MAZDA,COMPACT,2,4,M6,X,7,40,161
MAZDA,COMPACT,2.5,4,AS6,X,7.4,38,170
MAZDA,COMPACT,2.5,4,AS6,X,7.2,39,166
MAZDA,COMPACT,2.5,4,M6,X,8,35,184
MAZDA,MID-SIZE,2,4,AS6,X,7,40,161
MAZDA,MID-SIZE,2,4,M6,X,7.1,40,163
MAZDA,MID-SIZE,2.5,4,AS6,X,7.7,37,177
MAZDA,MID-SIZE,2.5,4,AS6,X,7.2,39,166
MAZDA,MID-SIZE,2.5,4,M6,X,8.1,35,186
MAZDA,MINIVAN,2.5,4,AS5,X,9.6,29,221
MAZDA,MINIVAN,2.5,4,M6,X,9.8,29,225
MAZDA,MID-SIZE,2.5,4,AS6,X,7.6,37,175
MAZDA,MID-SIZE,2.5,4,M6,X,8.1,35,186
MAZDA,MID-SIZE,2.5,4,AS6,X,7.3,39,168
MAZDA,TWO-SEATER,2,4,AS6,Z,10.1,28,232
MAZDA,TWO-SEATER,2,4,M5,Z,9.6,29,221
MAZDA,TWO-SEATER,2,4,M6,Z,9.9,29,228
MERCEDES-BENZ,STATION WAGON - SMALL,2,4,AS7,Z,8,35,184
MERCEDES-BENZ,STATION WAGON - SMALL,2,4,AS7,Z,8.9,32,205
MERCEDES-BENZ,SUBCOMPACT,1.8,4,AS7,Z,9.4,30,216
MERCEDES-BENZ,COMPACT,2,4,AS7,Z,9,31,207
MERCEDES-BENZ,SUBCOMPACT,3.5,6,AS7,Z,10.6,27,244
MERCEDES-BENZ,SUBCOMPACT,3.5,6,AS7,Z,10.5,27,242
MERCEDES-BENZ,COMPACT,3,6,AS7,Z,9.9,29,228
MERCEDES-BENZ,SUBCOMPACT,6.2,8,AS7,Z,15.4,18,354
MERCEDES-BENZ,SUBCOMPACT,2,4,AS7,Z,8.1,35,186
MERCEDES-BENZ,SUBCOMPACT,2,4,AS7,Z,8.8,32,202
MERCEDES-BENZ,COMPACT,2,4,AS7,Z,9.1,31,209
MERCEDES-BENZ,COMPACT,3,6,AS7,Z,10.5,27,242
MERCEDES-BENZ,COMPACT,4.7,8,AS7,Z,12.5,23,288
MERCEDES-BENZ,COMPACT,5.5,8,AS7,Z,13.1,22,301
MERCEDES-BENZ,MID-SIZE,2.1,4,AS7,D,7.4,38,200
MERCEDES-BENZ,MID-SIZE,3.5,6,AS7,Z,10.2,28,235
MERCEDES-BENZ,MID-SIZE,3,6,AS7,Z,10.4,27,239
MERCEDES-BENZ,STATION WAGON - MID-SIZE,3.5,6,AS7,Z,10.8,26,248
MERCEDES-BENZ,SUBCOMPACT,3.5,6,AS7,Z,10,28,230
MERCEDES-BENZ,SUBCOMPACT,3.5,6,AS7,Z,10.2,28,235
MERCEDES-BENZ,MID-SIZE,4.7,8,AS7,Z,11.4,25,262
MERCEDES-BENZ,SUBCOMPACT,4.7,8,AS7,Z,11.7,24,269
MERCEDES-BENZ,SUBCOMPACT,4.7,8,AS7,Z,11.4,25,262
MERCEDES-BENZ,MID-SIZE,5.5,8,AS7,Z,13.3,21,306
MERCEDES-BENZ,STATION WAGON - MID-SIZE,5.5,8,AS7,Z,13.3,21,306
MERCEDES-BENZ,SUV - STANDARD,5.5,8,AS7,Z,18.2,16,419
MERCEDES-BENZ,SUV - STANDARD,5.5,8,AS7,Z,18.5,15,426
MERCEDES-BENZ,SUV - STANDARD,3,6,AS7,D,12,24,324
MERCEDES-BENZ,SUV - STANDARD,3,6,AS7,Z,14,20,322
MERCEDES-BENZ,SUV - STANDARD,4.7,8,AS7,Z,15.6,18,359
MERCEDES-BENZ,SUV - STANDARD,5.5,8,AS7,Z,16.3,17,375
MERCEDES-BENZ,SUV - SMALL,2,4,AS7,Z,8.7,32,200
MERCEDES-BENZ,STATION WAGON - MID-SIZE,2,4,AS7,Z,9.4,30,216
MERCEDES-BENZ,SUV - SMALL,2.1,4,AS7,D,8.5,33,230
MERCEDES-BENZ,SUV - SMALL,3.5,6,AS7,Z,11.2,25,258
MERCEDES-BENZ,SUV - STANDARD,3,6,AS7,D,10.3,27,278
MERCEDES-BENZ,SUV - STANDARD,3,6,AS7,Z,12,24,276
MERCEDES-BENZ,SUV - STANDARD,4.7,8,AS7,Z,14.2,20,327
MERCEDES-BENZ,SUV - STANDARD,5.5,8,AS7,Z,15.6,18,359
MERCEDES-BENZ,MID-SIZE,4.7,6,AS7,Z,10.8,26,248
MERCEDES-BENZ,COMPACT,4.7,8,AS7,Z,12.3,23,283
MERCEDES-BENZ,FULL-SIZE,4.7,8,AS7,Z,12.5,23,288
MERCEDES-BENZ,MID-SIZE,4.7,8,AS7,Z,12.2,23,281
MERCEDES-BENZ,FULL-SIZE,6,12,AS7,Z,14.9,19,343
MERCEDES-BENZ,FULL-SIZE,5.5,8,AS7,Z,13.2,21,304
MERCEDES-BENZ,COMPACT,5.5,8,AS7,Z,13.2,21,304
MERCEDES-BENZ,FULL-SIZE,6,12,AS7,Z,15.5,18,357
MERCEDES-BENZ,COMPACT,6,12,AS7,Z,15,19,345
MERCEDES-BENZ,TWO-SEATER,4.7,8,AS7,Z,11.9,24,274
MERCEDES-BENZ,TWO-SEATER,5.5,8,AS7,Z,12.4,23,285
MERCEDES-BENZ,TWO-SEATER,6,12,AS7,Z,14.2,20,327
MERCEDES-BENZ,TWO-SEATER,1.8,4,AS7,Z,9,31,207
MERCEDES-BENZ,TWO-SEATER,1.8,4,M6,Z,9,31,207
MERCEDES-BENZ,TWO-SEATER,3.5,6,AS7,Z,9.8,29,225
MERCEDES-BENZ,TWO-SEATER,5.5,8,AS7,Z,10.6,27,244
MERCEDES-BENZ,TWO-SEATER,6.2,8,AM7,Z,15.6,18,359
MERCEDES-BENZ,TWO-SEATER,6.2,8,AM7,Z,15.6,18,359
MINI,SUBCOMPACT,1.5,3,AS6,Z,7.5,38,172
MINI,SUBCOMPACT,1.5,3,M6,Z,7.1,40,163
MINI,SUBCOMPACT,1.5,3,AS6,Z,7.5,38,172
MINI,SUBCOMPACT,1.5,3,M6,Z,7.2,39,166
MINI,MINICOMPACT,1.6,4,AS6,Z,7.7,37,177
MINI,MINICOMPACT,1.6,4,M6,Z,7.5,38,172
MINI,COMPACT,1.6,4,AS6,Z,8.7,32,200
MINI,COMPACT,1.6,4,M6,Z,7.5,38,172
MINI,TWO-SEATER,1.6,4,AS6,Z,7.6,37,175
MINI,TWO-SEATER,1.6,4,M6,Z,7.3,39,168
MINI,COMPACT,1.6,4,AS6,Z,8.7,32,200
MINI,COMPACT,1.6,4,M6,Z,7.5,38,172
MINI,TWO-SEATER,1.6,4,AS6,Z,7.7,37,177
MINI,TWO-SEATER,1.6,4,M6,Z,7.5,38,172
MINI,SUBCOMPACT,2,4,AS6,Z,8.2,34,189
MINI,SUBCOMPACT,2,4,M6,Z,8.6,33,198
MINI,SUBCOMPACT,2,4,AS6,Z,8.2,34,189
MINI,SUBCOMPACT,2,4,M6,Z,8.6,33,198
MINI,MINICOMPACT,1.6,4,AS6,Z,8.1,35,186
MINI,MINICOMPACT,1.6,4,M6,Z,8.1,35,186
MINI,COMPACT,1.6,4,AS6,Z,9,31,207
MINI,COMPACT,1.6,4,M6,Z,8.7,32,200
MINI,TWO-SEATER,1.6,4,AS6,Z,8.1,35,186
MINI,TWO-SEATER,1.6,4,M6,Z,8.1,35,186
MINI,COMPACT,1.6,4,AS6,Z,9,31,207
MINI,COMPACT,1.6,4,M6,Z,8.7,32,200
MINI,TWO-SEATER,1.6,4,AS6,Z,8.1,35,186
MINI,TWO-SEATER,1.6,4,M6,Z,8.1,35,186
MINI,SUBCOMPACT,2,4,AS6,Z,8.4,34,193
MINI,SUBCOMPACT,2,4,M6,Z,9.2,31,212
MINI,MINICOMPACT,1.6,4,AS6,Z,8.1,35,186
MINI,MINICOMPACT,1.6,4,M6,Z,8.1,35,186
MINI,COMPACT,1.6,4,AS6,Z,9,31,207
MINI,COMPACT,1.6,4,M6,Z,8.7,32,200
MINI,TWO-SEATER,1.6,4,AS6,Z,8.1,35,186
MINI,TWO-SEATER,1.6,4,M6,Z,8.1,35,186
MINI,COMPACT,1.6,4,AS6,Z,9,31,207
MINI,COMPACT,1.6,4,M6,Z,8.7,32,200
MINI,TWO-SEATER,1.6,4,AS6,Z,8.1,35,186
MINI,TWO-SEATER,1.6,4,M6,Z,8.1,35,186
MITSUBISHI,COMPACT,2,4,AV6,X,8.2,34,189
MITSUBISHI,COMPACT,2,4,M5,X,8.4,34,193
MITSUBISHI,COMPACT,2.4,4,AV6,X,9.5,30,219
MITSUBISHI,COMPACT,2,4,AM6,Z,12.5,23,288
MITSUBISHI,COMPACT,2,4,M5,Z,12.3,23,283
MITSUBISHI,COMPACT,2,4,AM6,Z,11.6,24,267
MITSUBISHI,STATION WAGON - SMALL,2,4,AV6,X,8.6,33,198
MITSUBISHI,STATION WAGON - SMALL,2,4,M5,X,8.6,33,198
MITSUBISHI,COMPACT,1.2,3,AV,X,5.9,48,136
MITSUBISHI,COMPACT,1.2,3,M5,X,6.4,44,147
MITSUBISHI,SUV - SMALL,2.4,4,AV6,X,8.6,33,198
MITSUBISHI,SUV - SMALL,2.4,4,AV6,X,9.1,31,209
MITSUBISHI,SUV - SMALL,3,6,AS6,Z,10.1,28,232
MITSUBISHI,SUV - SMALL,2,4,AV6,X,8.4,34,193
MITSUBISHI,SUV - SMALL,2,4,M5,X,8.8,32,202
MITSUBISHI,SUV - SMALL,2,4,AV6,X,8.8,32,202
MITSUBISHI,SUV - SMALL,2.4,4,AV6,X,9.6,29,221
NISSAN,TWO-SEATER,3.7,6,AS7,Z,11.1,25,255
NISSAN,TWO-SEATER,3.7,6,M6,Z,11.5,25,264
NISSAN,TWO-SEATER,3.7,6,AS7,Z,11.5,25,264
NISSAN,TWO-SEATER,3.7,6,M6,Z,11.8,24,271
NISSAN,MID-SIZE,2.5,4,AV,X,7.6,37,175
NISSAN,MID-SIZE,3.5,6,AV,X,9,31,207
NISSAN,SUV - STANDARD,5.6,8,A5,X,16.6,17,382
NISSAN,PICKUP TRUCK - SMALL,2.5,4,A5,X,12.3,23,283
NISSAN,PICKUP TRUCK - SMALL,2.5,4,M5,X,11.3,25,260
NISSAN,PICKUP TRUCK - SMALL,4,6,A5,X,12.7,22,292
NISSAN,PICKUP TRUCK - SMALL,4,6,A5,X,13.7,21,315
NISSAN,PICKUP TRUCK - SMALL,4,6,M6,X,13.3,21,306
NISSAN,SUBCOMPACT,3.8,6,AM6,Z,12.6,22,290
NISSAN,STATION WAGON - SMALL,1.6,4,AV7,X,7.9,36,182
NISSAN,STATION WAGON - SMALL,1.6,4,M6,X,7.7,37,177
NISSAN,STATION WAGON - SMALL,1.6,4,AV7,X,8.2,34,189
NISSAN,STATION WAGON - SMALL,1.6,4,M6,Z,8.3,34,191
NISSAN,STATION WAGON - SMALL,1.6,4,AV8,Z,8.8,32,202
NISSAN,COMPACT,1.6,4,A4,X,7.8,36,179
NISSAN,COMPACT,1.6,4,M5,X,7.7,37,177
NISSAN,STATION WAGON - MID-SIZE,3.5,6,AV7,X,9.8,29,225
NISSAN,STATION WAGON - MID-SIZE,3.5,6,AV7,X,9.9,29,228
NISSAN,SPECIAL PURPOSE VEHICLE,2,4,AV,X,9.4,30,216
NISSAN,SUV - SMALL,3.5,6,AV,X,10.4,27,239
NISSAN,SUV - SMALL,3.5,6,AV,X,10.7,26,246
NISSAN,SUV - SMALL,3.5,6,AV,X,11,26,253
NISSAN,SUV - STANDARD,2.5,4,AV,X,8.8,32,202
NISSAN,MINIVAN,3.5,6,AV,X,10.5,27,242
NISSAN,SUV - SMALL,2.5,4,AV,X,8.3,34,191
NISSAN,SUV - SMALL,2.5,4,AV,X,8.5,33,196
NISSAN,PICKUP TRUCK - STANDARD,5.6,8,A5,X,16.1,18,370
NISSAN,PICKUP TRUCK - STANDARD,5.6,8,A5,X,17.2,16,396
NISSAN,MID-SIZE,1.8,4,AV,X,7.2,39,166
NISSAN,MID-SIZE,1.8,4,M6,X,7.9,36,182
NISSAN,COMPACT,1.6,4,AV,X,6.8,42,156
NISSAN,COMPACT,1.6,4,M5,X,7.7,37,177
NISSAN,SUV - SMALL,4,6,A5,X,14.2,20,327
NISSAN,SUV - SMALL,4,6,M6,X,14.4,20,331
PORSCHE,MINICOMPACT,3.4,6,AM7,Z,10.1,28,232
PORSCHE,MINICOMPACT,3.4,6,M7,Z,10.6,27,244
PORSCHE,MINICOMPACT,3.4,6,AM7,Z,10.1,28,232
PORSCHE,MINICOMPACT,3.4,6,M7,Z,10.7,26,246
PORSCHE,MINICOMPACT,3.4,6,AM7,Z,10.2,28,235
PORSCHE,MINICOMPACT,3.4,6,M7,Z,10.7,26,246
PORSCHE,MINICOMPACT,3.4,6,AM7,Z,10.5,27,242
PORSCHE,MINICOMPACT,3.4,6,M7,Z,10.9,26,251
PORSCHE,MINICOMPACT,3.8,6,AM7,Z,11.1,25,255
PORSCHE,MINICOMPACT,3.8,6,M7,Z,11.3,25,260
PORSCHE,MINICOMPACT,3.8,6,AM7,Z,11.4,25,262
PORSCHE,MINICOMPACT,3.8,6,M7,Z,11.6,24,267
PORSCHE,MINICOMPACT,3.8,6,AM7,Z,10.7,26,246
PORSCHE,MINICOMPACT,3.8,6,M7,Z,11,26,253
PORSCHE,MINICOMPACT,3.8,6,AM7,Z,11,26,253
PORSCHE,MINICOMPACT,3.8,6,M7,Z,11.2,25,258
PORSCHE,MINICOMPACT,3.8,6,AM7,Z,11,26,253
PORSCHE,MINICOMPACT,3.8,6,M7,Z,11.2,25,258
PORSCHE,MINICOMPACT,3.8,6,AM7,Z,11.1,25,255
PORSCHE,MINICOMPACT,3.8,6,M7,Z,11.6,24,267
PORSCHE,MINICOMPACT,3.8,6,AM7,Z,10.5,27,242
PORSCHE,MINICOMPACT,3.8,6,M7,Z,10.7,26,246
PORSCHE,MINICOMPACT,3.8,6,AM7,Z,10.6,27,244
PORSCHE,MINICOMPACT,3.8,6,M7,Z,10.9,26,251
PORSCHE,TWO-SEATER,3.8,6,AM7,Z,14,20,322
PORSCHE,MINICOMPACT,3.4,6,AM7,Z,10.8,26,248
PORSCHE,MINICOMPACT,3.4,6,M7,Z,11.1,25,255
PORSCHE,MINICOMPACT,3.8,6,AM7,Z,11.2,25,258
PORSCHE,MINICOMPACT,3.8,6,M7,Z,11.4,25,262
PORSCHE,MINICOMPACT,3.8,6,AM7,Z,11.9,24,274
PORSCHE,MINICOMPACT,3.8,6,AM7,Z,11.9,24,274
PORSCHE,MINICOMPACT,3.8,6,AM7,Z,11.9,24,274
PORSCHE,MINICOMPACT,3.8,6,AM7,Z,11.9,24,274
PORSCHE,TWO-SEATER,2.7,6,AM7,Z,9.2,31,212
PORSCHE,TWO-SEATER,2.7,6,M6,Z,9.9,29,228
PORSCHE,TWO-SEATER,3.4,6,AM7,Z,9.5,30,218
PORSCHE,TWO-SEATER,3.4,6,M6,Z,10.7,26,246
PORSCHE,TWO-SEATER,3.4,6,AM7,Z,9.8,29,225
PORSCHE,TWO-SEATER,3.4,6,M6,Z,10.4,27,239
PORSCHE,SUV - STANDARD,3,6,A8,D,10.2,28,277
PORSCHE,SUV - STANDARD,3.6,6,A8,Z,12.2,23,286
PORSCHE,SUV - STANDARD,4.8,8,A8,Z,14.2,20,327
PORSCHE,TWO-SEATER,2.7,6,AM7,Z,9.2,31,212
PORSCHE,TWO-SEATER,2.7,6,M6,Z,9.9,29,228
PORSCHE,TWO-SEATER,3.4,6,AM7,Z,9.5,30,218
PORSCHE,TWO-SEATER,3.4,6,M6,Z,10.7,26,246
PORSCHE,TWO-SEATER,3.4,6,AM7,Z,9.8,29,225
PORSCHE,TWO-SEATER,3.4,6,M6,Z,10.4,27,239
PORSCHE,SUV - SMALL,3,6,A7,Z,12.2,23,281
PORSCHE,SUV - SMALL,3.6,6,A7,Z,12.3,23,283
PORSCHE,FULL-SIZE,3.6,6,AM7,Z,10.9,26,251
PORSCHE,FULL-SIZE,3.6,6,AM7,Z,11.1,25,255
PORSCHE,FULL-SIZE,3,6,AM7,Z,11.4,25,262
PORSCHE,FULL-SIZE,3,6,AM7,Z,11.5,25,264
PORSCHE,FULL-SIZE,4.8,8,AM7,Z,12.7,22,292
PORSCHE,FULL-SIZE,3,6,AM7,Z,11.4,25,262
PORSCHE,FULL-SIZE,4.8,8,AM7,Z,12.8,22,294
PORSCHE,FULL-SIZE,4.8,8,AM7,Z,12.9,22,297
PORSCHE,FULL-SIZE,4.8,8,AM7,Z,12.8,22,294
PORSCHE,FULL-SIZE,4.8,8,AM7,Z,12.9,22,297
RAM,PICKUP TRUCK - STANDARD,3.6,6,A8,X,11.9,24,274
RAM,PICKUP TRUCK - STANDARD,3.6,6,A8,X,11.9,24,274
RAM,PICKUP TRUCK - STANDARD,3.6,6,A8,E,16.8,17,269
RAM,PICKUP TRUCK - STANDARD,3.6,6,A8,X,11.3,25,260
RAM,PICKUP TRUCK - STANDARD,5.7,8,A6,X,14.8,19,340
RAM,PICKUP TRUCK - STANDARD,5.7,8,A8,X,13.6,21,313
RAM,PICKUP TRUCK - STANDARD,3,6,A8,D,10.1,28,273
RAM,PICKUP TRUCK - STANDARD,3,6,A8,D,9.8,29,265
RAM,PICKUP TRUCK - STANDARD,3.6,6,A8,X,12.6,22,290
RAM,PICKUP TRUCK - STANDARD,3.6,6,A8,X,12.6,22,290
RAM,PICKUP TRUCK - STANDARD,3.6,6,A8,E,17.8,16,285
RAM,PICKUP TRUCK - STANDARD,5.7,8,A6,X,15.4,18,354
RAM,PICKUP TRUCK - STANDARD,5.7,8,A8,X,14.1,20,324
RAM,PICKUP TRUCK - STANDARD,3,6,A8,D,10.6,27,286
RAM,MINIVAN,3.6,6,A6,X,11.4,25,262
RAM,MINIVAN,3.6,6,A6,E,15.9,18,254
RAM,SPECIAL PURPOSE VEHICLE,2.4,4,A9,X,9.8,29,225
ROLLS-ROYCE,FULL-SIZE,6.6,12,AS8,Z,16.1,18,370
ROLLS-ROYCE,FULL-SIZE,6.6,12,AS8,Z,16.1,18,370
ROLLS-ROYCE,FULL-SIZE,6.7,12,AS8,Z,17.2,16,396
ROLLS-ROYCE,FULL-SIZE,6.7,12,AS8,Z,17.2,16,396
ROLLS-ROYCE,COMPACT,6.7,12,AS8,Z,17.2,16,396
ROLLS-ROYCE,COMPACT,6.7,12,AS8,Z,17.2,16,396
ROLLS-ROYCE,MID-SIZE,6.6,12,AS8,Z,15.6,18,359
SCION,MINICOMPACT,2,4,AS6,Z,8.4,34,193
SCION,MINICOMPACT,2,4,M6,Z,9.6,29,221
SCION,MINICOMPACT,1.3,4,AV,X,6.4,44,147
SCION,COMPACT,2.5,4,AS6,X,9,31,207
SCION,COMPACT,2.5,4,M6,X,9,31,207
SCION,STATION WAGON - SMALL,2.4,4,AS4,X,9.8,29,225
SCION,STATION WAGON - SMALL,2.4,4,M5,X,9.8,29,225
SMART,TWO-SEATER,1,3,AM5,Z,6.5,43,150
SMART,TWO-SEATER,1,3,AM5,Z,6.5,43,150
SUBARU,MINICOMPACT,2,4,AS6,Z,8.4,34,193
SUBARU,MINICOMPACT,2,4,M6,Z,9.6,29,221
SUBARU,SUV - SMALL,2,4,AV8,Z,9.4,30,216
SUBARU,SUV - SMALL,2.5,4,AV6,X,8.7,32,200
SUBARU,SUV - SMALL,2.5,4,M6,X,9.6,29,221
SUBARU,COMPACT,2,4,AV6,X,7.6,37,175
